face_name_align,race,race4,gender,age,race_scores_fair,race_scores_fair_4,gender_scores_fair,age_scores_fair
/home/steffi/dev/data/ExpW/ExpwCleaned_FairFace_detected_faces/new/black_disgust_female/awe_African_551_1_face0.png,Black,Black,Female,20-29,"[1.6032092e-05 9.9913335e-01 2.2675657e-04 6.4191672e-06 2.3610681e-05
 5.8673590e-04 7.1220784e-06]",[5.5884622e-05 9.9944687e-01 6.6795670e-05 4.3045534e-04],[0.01757041 0.9824296 ],"[7.3704331e-07 1.6641342e-04 1.6916620e-02 5.2957535e-01 4.2156661e-01
 3.0053850e-02 1.6614607e-03 5.4641954e-05 4.2518686e-06]"
/home/steffi/dev/data/ExpW/ExpwCleaned_FairFace_detected_faces/new/black_disgust_female/angry_black_515_0_face0.png,Black,Black,Female,30-39,"[1.3554328e-02 5.8407468e-01 2.7368945e-01 3.4489849e-04 1.9734397e-03
 3.7184406e-02 8.9178883e-02]",[0.0206158  0.8494044  0.00178345 0.12819628],[9.324919e-05 9.999068e-01],"[5.3689871e-07 1.6555934e-05 7.6310476e-04 4.4755258e-02 4.9808872e-01
 3.8734701e-01 6.7289382e-02 1.7165543e-03 2.2895547e-05]"
/home/steffi/dev/data/ExpW/ExpwCleaned_FairFace_detected_faces/new/black_disgust_female/awe_African_187_0_face0.png,Black,Black,Female,30-39,"[3.6781141e-05 9.7946393e-01 4.4782604e-03 3.0654660e-04 4.8655281e-03
 1.0840623e-02 8.3781142e-06]",[7.8115641e-05 9.9708992e-01 1.9617602e-03 8.7021961e-04],[0.00290185 0.9970981 ],"[2.4814278e-06 6.6587003e-05 5.1450361e-03 1.5814933e-01 5.5396831e-01
 2.5223309e-01 2.8671782e-02 1.6917030e-03 7.1692848e-05]"
/home/steffi/dev/data/ExpW/ExpwCleaned_FairFace_detected_faces/new/black_disgust_female/amazed_African_88_0_face0.png,Black,Black,Female,30-39,"[2.1689567e-03 8.6962754e-01 1.0023679e-01 7.2453707e-04 4.1529424e-03
 1.4832902e-02 8.2563180e-03]",[0.00800029 0.8653133  0.0583373  0.06834907],[3.3204237e-04 9.9966794e-01],"[2.6186201e-06 1.5266892e-04 8.0653653e-03 2.8313765e-01 6.1368328e-01
 8.7858677e-02 6.9045606e-03 1.8889863e-04 6.2557792e-06]"
/home/steffi/dev/data/ExpW/ExpwCleaned_FairFace_detected_faces/new/black_disgust_female/awe_African_239_1_face0.png,Black,Black,Female,20-29,"[9.0158435e-05 9.9594122e-01 9.5220824e-04 1.9431605e-05 1.3438940e-04
 2.7781019e-03 8.4533167e-05]",[3.9560368e-04 9.9127203e-01 9.7511860e-04 7.3572020e-03],[2.8752067e-04 9.9971247e-01],"[2.01020512e-07 5.43443821e-05 9.73364431e-03 6.32732630e-01
 3.46874326e-01 1.03235915e-02 2.75846629e-04 5.20782396e-06
 9.78665824e-08]"
/home/steffi/dev/data/ExpW/ExpwCleaned_FairFace_detected_faces/new/black_disgust_female/anxious_African_738_0_face0.png,Black,Black,Female,3-9,"[1.5544471e-03 9.4868475e-01 2.3576902e-02 5.9304183e-04 7.5620431e-03
 1.5202889e-02 2.8258222e-03]",[0.00251151 0.94552606 0.00633579 0.04562667],[0.3641618 0.6358382],"[2.1543437e-04 7.3078418e-01 2.6636779e-01 2.3964308e-03 2.1148965e-04
 2.2412452e-05 1.8320296e-06 3.1310034e-07 5.1782379e-08]"
/home/steffi/dev/data/ExpW/ExpwCleaned_FairFace_detected_faces/new/black_disgust_female/amazed_African_864_1_face0.png,Black,Black,Female,20-29,"[6.9909993e-07 9.9993056e-01 1.0263019e-05 1.8702797e-06 1.8727902e-05
 3.1777508e-05 6.0233060e-06]",[4.9766531e-05 9.9906486e-01 3.3722850e-04 5.4814923e-04],[0.02488466 0.97511536],"[1.43526595e-05 1.38930911e-02 2.06096306e-01 4.83971298e-01
 2.68457294e-01 2.59802435e-02 1.49942399e-03 7.65903824e-05
 1.14155673e-05]"
/home/steffi/dev/data/ExpW/ExpwCleaned_FairFace_detected_faces/new/black_disgust_female/distressed_African_73_2_face0.png,Black,Black,Female,30-39,"[0.00183467 0.93448013 0.03246583 0.00290574 0.01649078 0.00372369
 0.00809906]",[0.00216327 0.91698855 0.06789535 0.0129528 ],[0.21884625 0.78115374],"[1.2599757e-04 1.6811496e-02 9.2169330e-02 2.3840579e-01 4.3219128e-01
 1.5831688e-01 4.9823370e-02 1.0537235e-02 1.6186436e-03]"
/home/steffi/dev/data/ExpW/ExpwCleaned_FairFace_detected_faces/new/black_disgust_female/distressed_African_772_0_face0.png,Black,Black,Female,20-29,"[6.2359166e-03 8.9295936e-01 8.0689892e-02 3.9153031e-04 2.1227885e-03
 1.2098155e-02 5.5024684e-03]",[0.00262412 0.9836244  0.00172841 0.01202307],[0.00253113 0.9974689 ],"[2.4559286e-06 8.4945880e-04 1.3057096e-01 7.7101606e-01 9.5895104e-02
 1.6432331e-03 2.2104012e-05 6.0448224e-07 1.8866512e-08]"
/home/steffi/dev/data/ExpW/ExpwCleaned_FairFace_detected_faces/new/black_disgust_female/distressed_African_98_0_face0.png,Black,Black,Female,40-49,"[3.2241143e-05 9.9755090e-01 1.5607299e-03 2.0651565e-05 1.5493264e-04
 5.4510974e-04 1.3538444e-04]",[1.8021150e-05 9.9940413e-01 3.7419875e-04 2.0364196e-04],[0.00506785 0.9949322 ],"[1.0956184e-05 2.3639496e-04 2.1462766e-03 1.8609589e-02 2.1846661e-01
 4.2929384e-01 2.5736886e-01 6.8567410e-02 5.2999635e-03]"
/home/steffi/dev/data/ExpW/ExpwCleaned_FairFace_detected_faces/new/black_disgust_female/fierce_black_333_1_face0.png,Latino_Hispanic,Black,Female,20-29,"[0.03021278 0.0560331  0.74092954 0.00565129 0.02677786 0.06099677
 0.07939871]",[0.15968868 0.63474554 0.0576816  0.14788423],[3.589079e-04 9.996411e-01],"[1.2670233e-07 6.2481522e-05 3.0262636e-02 6.4636755e-01 3.1654999e-01
 6.6490169e-03 1.0572303e-04 2.4079070e-06 3.5031796e-08]"
/home/steffi/dev/data/ExpW/ExpwCleaned_FairFace_detected_faces/new/black_disgust_female/boring_African_6_0_face0.png,Black,Black,Female,10-19,"[4.4261063e-03 8.2168549e-01 1.4962207e-01 2.3997088e-04 8.2595082e-04
 1.9282093e-02 3.9182818e-03]",[0.01614568 0.9643491  0.0010922  0.0184131 ],[0.00667985 0.99332017],"[5.4072279e-07 2.4362302e-03 4.9127707e-01 4.7656277e-01 2.9146634e-02
 5.6739507e-04 8.8704628e-06 4.6626195e-07 2.0424791e-08]"
/home/steffi/dev/data/ExpW/ExpwCleaned_FairFace_detected_faces/new/black_disgust_female/amazed_African_308_0_face0.png,Black,Black,Female,50-59,"[3.2548438e-04 9.2241997e-01 1.7481584e-02 2.6278515e-04 1.1529876e-03
 5.7877302e-02 4.7984079e-04]",[2.4809019e-04 9.6571475e-01 3.7476013e-04 3.3662338e-02],[8.1019604e-04 9.9918979e-01],"[4.0215323e-06 3.1216816e-05 3.1059299e-04 2.9888165e-03 7.5120538e-02
 3.9838061e-01 4.4732055e-01 7.4261554e-02 1.5821644e-03]"
/home/steffi/dev/data/ExpW/ExpwCleaned_FairFace_detected_faces/new/black_disgust_female/boring_African_489_2_face0.png,Black,Asian,Female,20-29,"[0.03650435 0.36190236 0.22893782 0.14446664 0.17902923 0.01038973
 0.03876978]",[0.00953785 0.08337203 0.90317804 0.0039121 ],[0.00789134 0.9921087 ],"[9.02276312e-04 1.10072335e-02 6.80222735e-02 6.87448740e-01
 2.20260739e-01 1.16145937e-02 7.06169871e-04 3.55879965e-05
 2.36517189e-06]"
/home/steffi/dev/data/ExpW/ExpwCleaned_FairFace_detected_faces/new/black_disgust_female/awe_African_201_1_face0.png,Black,Black,Female,20-29,"[0.00646169 0.87077135 0.07246761 0.00230959 0.00393183 0.00744826
 0.03660969]",[0.02748605 0.910012   0.05909967 0.00340233],[0.01117159 0.9888284 ],"[4.26137965e-04 1.18931588e-02 5.52206412e-02 4.02874529e-01
 3.91618669e-01 1.16156854e-01 1.97962821e-02 1.88720995e-03
 1.26500163e-04]"
